% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2474	5	50	45	0	0	165	0	1
2474	6	54	55	0	0	165	0	1
2474	7	68	5	0	4	437	0	1
2475	1	5	49	0	0	165	0	1
2475	2	20	15	0	0	165	0	1
2475	3	27	65	0	0	165	0	1
2475	4	32	110	0	0	165	0	1
2475	5	47	49	0	0	165	0	1
2475	6	51	81	0	0	165	0	1
2475	7	61	7	0	10	935	0	1
2476	1	4	3	0	0	165	0	1
2476	2	20	15	0	0	165	0	1
2476	3	29	85	0	0	165	0	1
2476	4	36	121	0	0	165	0	1
2476	5	46	56	0	0	165	0	1
2476	6	57	1	0	0	165	0	1
2476	7	65	4	0	6	621	0	1
2477	1	2	19	0	0	165	0	1
2477	3	24	94	0	0	165	0	1
2477	4	33	126	0	0	165	0	1
2477	5	41	58	0	0	165	0	1
2477	6	58	2	0	0	165	0	1
2477	7	64	8	0	18	1980	0	1
2478	1	1	6	0	0	165	0	1
2478	3	26	102	0	0	165	0	1
2478	4	37	42	0	0	165	1	0
2478	5	49	67	0	0	165	0	1
2478	6	59	3	0	0	165	0	1
2478	7	69	1	0	16	1836	0	1
2479	1	2	19	0	0	165	1	0
2479	2	20	15	0	0	165	0	1
2479	3	25	123	0	0	165	0	1
2479	4	35	145	0	0	165	0	1
2479	5	48	77	0	0	165	0	1
2479	6	60	8	0	0	165	0	1
2479	7	66	11	0	4	437	0	1
2480	1	3	58	0	0	165	0	1
2480	2	20	15	0	0	165	0	1
2480	3	22	160	0	0	165	0	1
2480	4	40	33	0	0	165	0	1
2480	5	44	105	0	0	165	0	1
2480	6	53	12	0	0	165	0	1
2480	7	67	12	0	4	437	0	1
2481	1	3	58	0	0	165	1	0
2481	2	20	15	0	0	165	0	1
2481	3	28	219	0	0	165	0	1
2481	4	38	37	0	0	165	0	1
2481	5	42	12	0	0	165	0	1
2481	6	52	30	0	0	165	0	1
2481	7	63	3	0	14	1527	0	1
2482	1	5	49	0	0	165	0	1
2482	2	20	15	0	0	165	0	1
2482	3	21	237	0	0	165	0	1
2482	4	37	42	0	0	165	0	1
2482	5	47	49	0	0	165	1	0
2482	6	55	40	0	0	165	0	1
2482	7	62	6	0	6	621	0	1
2483	1	4	3	0	0	165	0	1
2483	2	20	15	0	0	165	0	1
2483	3	23	23	0	0	165	0	1
2483	4	39	74	0	0	165	0	1
2483	5	43	23	0	0	165	0	1
2483	6	56	54	0	0	165	0	1
2483	7	70	2	0	12	1191	0	1
2484	1	2	19	0	0	165	0	1
2484	3	30	59	0	0	165	0	1
2484	4	34	89	0	0	165	0	1
2484	5	45	33	0	0	165	0	1
2484	6	54	55	0	0	165	0	1
2484	7	68	5	0	4	437	0	1
2485	1	1	6	0	0	165	0	1
2485	3	27	65	0	0	165	0	1
2485	4	31	93	0	0	165	0	1
