% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
8.568	5	41	857	9	58	0	165	0	0
8.568	6	60	857	9	8	0	165	0	0
8.568	7	61	857	9	7	10	935	0	0
8.569	1	5	857	10	49	0	165	0	0
8.569	2	14	857	10	108	0	165	0	0
8.569	3	26	857	10	102	0	165	0	0
8.569	4	34	857	10	89	0	165	0	0
8.569	5	49	857	10	67	0	165	0	0
8.569	6	53	857	10	12	0	165	0	0
8.569	7	62	857	10	6	6	621	0	0
8.57	1	7	858	1	8	0	165	0	0
8.57	2	13	858	1	116	0	165	0	0
8.57	3	25	858	1	123	0	165	0	0
8.57	4	31	858	1	93	0	165	0	0
8.57	5	48	858	1	77	0	165	0	0
8.57	6	52	858	1	30	0	165	0	0
8.57	7	64	858	1	8	18	1980	0	0
8.571	1	4	858	2	3	0	165	0	0
8.571	2	13	858	2	116	0	165	0	0
8.571	3	22	858	2	160	0	165	0	0
8.571	4	32	858	2	110	0	165	0	0
8.571	5	44	858	2	105	0	165	0	0
8.571	6	55	858	2	40	0	165	0	0
8.571	7	68	858	2	5	4	437	0	0
8.572	1	2	858	3	19	0	165	0	0
8.572	2	16	858	3	44	0	165	0	0
8.572	3	28	858	3	219	0	165	0	0
8.572	4	36	858	3	121	0	165	0	0
8.572	5	42	858	3	12	0	165	0	0
8.572	6	56	858	3	54	0	165	0	0
8.572	7	69	858	3	1	16	1836	0	0
8.573	1	1	858	4	6	0	165	0	0
8.573	2	11	858	4	34	0	165	0	0
8.573	3	23	858	4	23	0	165	0	0
8.573	4	33	858	4	126	0	165	0	0
8.573	5	43	858	4	23	0	165	0	0
8.573	6	54	858	4	55	0	165	0	0
8.573	7	66	858	4	11	4	437	0	0
8.574	1	8	858	5	7	0	165	0	0
8.574	2	12	858	5	73	0	165	0	0
8.574	3	30	858	5	59	0	165	0	0
8.574	4	35	858	5	145	0	165	0	0
8.574	5	45	858	5	33	0	165	0	0
8.574	6	51	858	5	81	0	165	0	0
8.574	7	63	858	5	3	14	1527	0	0
8.575	1	7	858	6	8	0	165	0	0
8.575	2	15	858	6	99	0	165	0	0
8.575	3	27	858	6	65	0	165	0	0
8.575	4	40	858	6	33	0	165	0	0
8.575	5	50	858	6	45	0	165	0	0
8.575	6	60	858	6	8	0	165	0	0
8.575	7	70	858	6	2	12	1191	0	0
8.576	1	5	858	7	49	0	165	0	0
8.576	2	14	858	7	108	0	165	0	0
8.576	3	29	858	7	85	0	165	0	0
8.576	4	38	858	7	37	0	165	0	0
8.576	5	47	858	7	49	0	165	0	0
8.576	6	57	858	7	1	0	165	0	0
8.576	7	65	858	7	4	6	621	0	0
8.577	1	6	858	8	59	0	165	0	0
8.577	2	13	858	8	116	0	165	0	0
8.577	3	24	858	8	94	0	165	0	0
8.577	4	37	858	8	42	0	165	0	0
8.577	5	46	858	8	56	0	165	0	0
8.577	6	58	858	8	2	0	165	0	0
8.577	7	67	858	8	12	4	437	0	0
8.578	1	10	858	9	15	0	165	0	0
8.578	2	16	858	9	44	0	165	0	0
8.578	3	26	858	9	102	0	165	0	0
8.578	4	39	858	9	74	0	165	0	0
8.578	5	41	858	9	58	0	165	0	0
8.578	6	59	858	9	3	0	165	0	0
8.578	7	61	858	9	7	10	935	0	0
8.579	1	3	858	10	58	0	165	0	0
8.579	2	16	858	10	44	0	165	0	0
8.579	3	25	858	10	123	0	165	0	0
8.579	4	34	858	10	89	0	165	0	0
8.579	5	49	858	10	67	0	165	0	0
8.579	6	60	858	10	8	0	165	0	0
8.579	7	64	858	10	8	18	1980	0	0
8.58	1	9	859	1	23	0	165	0	0
8.58	2	11	859	1	34	0	165	0	0
8.58	3	22	859	1	160	0	165	0	0
8.58	4	31	859	1	93	0	165	0	0
8.58	5	48	859	1	77	0	165	0	0
8.58	6	53	859	1	12	0	165	0	0
8.58	7	68	859	1	5	4	437	0	0
8.581	1	5	859	2	49	0	165	0	0
8.581	2	12	859	2	73	0	165	0	0
8.581	3	28	859	2	219	0	165	0	0
8.581	4	32	859	2	110	0	165	0	0
8.581	5	44	859	2	105	0	165	0	0
8.581	6	52	859	2	30	0	165	0	0
8.581	7	69	859	2	1	16	1836	0	0
8.582	1	4	859	3	3	0	165	0	0
8.582	2	12	859	3	73	0	165	0	0
8.582	3	23	859	3	23	0	165	0	0
8.582	4	36	859	3	121	0	165	0	0
8.582	5	42	859	3	12	0	165	0	0
8.582	6	55	859	3	40	0	165	0	0
8.582	7	62	859	3	6	6	621	0	0
8.583	1	2	859	4	19	0	165	0	0
8.583	2	15	859	4	99	0	165	0	0
8.583	3	30	859	4	59	0	165	0	0
8.583	4	33	859	4	126	0	165	0	0
8.583	5	47	859	4	49	0	165	0	0
8.583	6	56	859	4	54	0	165	0	0
8.583	7	66	859	4	11	4	437	0	0
8.584	1	1	859	5	6	0	165	0	0
8.584	2	14	859	5	108	0	165	0	0
8.584	3	27	859	5	65	0	165	0	0
8.584	4	35	859	5	145	0	165	0	0
8.584	5	43	859	5	23	0	165	0	0
8.584	6	54	859	5	55	0	165	0	0
8.584	7	63	859	5	3	14	1527	0	0
8.585	1	8	859	6	7	0	165	0	0
8.585	2	13	859	6	116	0	165	0	0
8.585	3	29	859	6	85	0	165	0	0
8.585	4	39	859	6	74	0	165	0	0
8.585	5	45	859	6	33	0	165	0	0
